"No.","Length","Time","Source","Destination","Protocol","Info"
"412","70","205.175059","192.168.122.209","192.168.0.114","OpenFlow","Type: OFPT_HELLO"
"415","78","205.446643","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_FEATURES_REQUEST"
"417","86","205.690923","192.168.122.209","192.168.0.114","OpenFlow","Type: OFPT_FEATURES_REPLY"
"419","70","205.713693","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_MULTIPART_REQUEST, OFPMP_PORT_DESC"
"421","1094","205.713693","192.168.122.209","192.168.0.114","OpenFlow","Type: OFPT_MULTIPART_REPLY, OFPMP_PORT_DESC"
"423","70","205.760789","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_GET_CONFIG_REQUEST"
"425","62","205.761764","192.168.122.209","192.168.0.114","OpenFlow","Type: OFPT_BARRIER_REPLY"
"426","66","205.761764","192.168.122.209","192.168.0.114","OpenFlow","Type: OFPT_GET_CONFIG_REPLY"
"429","70","205.773442","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_MULTIPART_REQUEST, OFPMP_METER_FEATURES"
"431","86","205.774419","192.168.122.209","192.168.0.114","OpenFlow","Type: OFPT_MULTIPART_REPLY, OFPMP_METER_FEATURES"
"433","70","205.799723","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_MULTIPART_REQUEST, OFPMP_DESC"
"434","1126","205.800696","192.168.122.209","192.168.0.114","OpenFlow","Type: OFPT_MULTIPART_REPLY, OFPMP_DESC"
"436","78","206.132669","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_ROLE_REQUEST"
"437","78","206.133644","192.168.122.209","192.168.0.114","OpenFlow","Type: OFPT_ROLE_REPLY"
"439","78","206.139079","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_ROLE_REQUEST"
"440","78","206.140191","192.168.122.209","192.168.0.114","OpenFlow","Type: OFPT_ROLE_REPLY"
"442","86","206.214326","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_MULTIPART_REQUEST, OFPMP_PORT_DESC"
"443","1094","206.214826","192.168.122.209","192.168.0.114","OpenFlow","Type: OFPT_MULTIPART_REPLY, OFPMP_PORT_DESC"
"444","1094","206.215345","192.168.122.209","192.168.0.114","OpenFlow","Type: OFPT_MULTIPART_REPLY, OFPMP_PORT_DESC"
"447","406","206.371751","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"448","230","206.376986","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"450","230","206.383962","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"451","230","206.389378","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"453","230","206.401402","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"454","230","206.409713","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"456","230","206.410730","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"457","230","206.426567","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"459","230","206.429096","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"460","230","206.429871","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"462","230","206.430824","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"463","230","206.431528","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"464","230","206.432508","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"466","230","206.438488","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"468","230","206.439941","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"469","230","206.449238","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"471","230","206.450422","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"472","232","206.452414","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"474","232","206.453702","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"475","232","206.454509","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"476","232","206.455499","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"478","232","206.466703","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"479","232","206.466703","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"481","232","206.468483","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"482","232","206.468983","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"484","232","206.470167","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"485","232","206.482411","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"487","232","206.485032","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
"488","232","206.486009","192.168.0.114","192.168.122.209","OpenFlow","Type: OFPT_PACKET_OUT"
